candidate_id,simulation_id,orientation_deg,glazing_area_m2,wall_insulation_m,roof_insulation_m,night_shutter,roof_emissivity,wall_material,capital_cost_inr,minimum_indoor_temperature_C,average_indoor_temperature_C,comfort_hours,total_heat_loss_kWh,discomfort_hours,safety_status,is_pareto_optimal
CAND_01587,SIM_OPT_01587,150.0,4.5,0.025,0.075,0,0.82,stone_masonry,223103.0,-19.23,-11.99,0.0,111.85,24.0,SAFE,False
CAND_01588,SIM_OPT_01588,165.0,0.0,0.025,0.0,0,0.8,stone_masonry,132566.0,-20.88,-15.19,0.0,165.39,24.0,SAFE,False
CAND_01589,SIM_OPT_01589,195.0,3.0,0.025,0.1,0,0.84,stone_masonry,211852.0,-19.74,-13.4,0.0,109.12,24.0,SAFE,False
CAND_01590,SIM_OPT_01590,180.0,6.0,0.05,0.075,1,0.33,dense_concrete,201002.0,-12.79,-6.86,0.0,70.39,24.0,SAFE,False
CAND_01591,SIM_OPT_01591,216.0,6.0,0.025,0.05,1,0.63,dense_concrete,244305.0,-14.97,-8.58,0.0,87.43,24.0,SAFE,False
CAND_01592,SIM_OPT_01592,180.0,4.5,0.05,0.075,1,0.37,stone_masonry,233810.0,-13.7,-8.67,0.0,66.46,24.0,SAFE,False
CAND_01593,SIM_OPT_01593,210.0,3.0,0.0,0.0,1,0.64,rammed_earth,110397.0,-17.96,-12.91,0.0,250.44,24.0,SAFE,False
CAND_01594,SIM_OPT_01594,165.0,8.0,0.1,0.1,1,0.56,pu_sandwich_panel,376397.0,-5.43,0.77,0.0,38.28,24.0,SAFE,False
CAND_01595,SIM_OPT_01595,72.6,2.0,0.0,0.0,0,0.74,stone_masonry,111408.0,-21.5,-15.3,0.0,257.34,24.0,SAFE,False
CAND_01596,SIM_OPT_01596,150.0,3.0,0.05,0.05,1,0.3,stone_masonry,184792.0,-15.06,-10.94,0.0,62.18,24.0,SAFE,False
CAND_01597,SIM_OPT_01597,210.0,4.5,0.025,0.1,0,0.43,dense_concrete,221987.0,-17.98,-10.75,0.0,70.76,24.0,SAFE,False
CAND_01598,SIM_OPT_01598,165.0,0.0,0.025,0.025,0,0.5,mud_brick,138266.0,-20.88,-15.19,0.0,78.38,24.0,SAFE,False
CAND_01599,SIM_OPT_01599,150.0,3.0,0.075,0.1,0,0.85,dense_concrete,229680.0,-17.71,-12.29,0.0,66.23,24.0,SAFE,False
CAND_01600,SIM_OPT_01600,4.2,2.0,0.025,0.025,0,0.57,rammed_earth,133306.0,-20.88,-15.14,0.0,109.96,24.0,SAFE,False
