material,k_W_mK,rho_kg_m3,cp_J_kgK,solar_absorptance,data_status
mud_brick,0.75,1700,1000,0.7,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
rammed_earth,1.1,1900,1150,0.65,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
stone_masonry,1.8,2400,850,0.6,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
dense_concrete,1.4,2300,1000,0.65,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
eps,0.035,20,1400,0.2,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
puf_sandwich,0.024,40,1500,0.3,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
straw_bale,0.065,110,1800,0.4,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
wood_pine,0.13,500,1600,0.6,PROJECT_INPUT_VALUE_REQUIRES_SOURCE_VERIFICATION
